172,155,158;1f004
59,43,52;1f487-1f3ff-200d-2640-fe0f
48,48,52;1f487-1f3ff-200d-2642-fe0f
69,45,34;1f487-1f3ff
162,123,74;1f487-200d-2640-fe0f
107,99,65;1f487-200d-2642-fe0f
131,96,48;1f487
72,69,75;1f488
59,34,38;1f489
126,65,40;1f48a
104,21,32;1f48b
147,123,131;1f48c
50,63,72;1f48d
57,90,116;1f48e
173,115,51;1f48f
81,70,34;1f490
185,122,65;1f491
108,55,61;1f492
127,34,39;1f493
126,26,39;1f494
101,21,31;1f495
151,46,47;1f496
153,73,85;1f497
139,51,41;1f498
60,112,153;1f499
78,115,57;1f49a
164,132,57;1f49b
110,92,139;1f49c
169,91,67;1f49d
119,33,44;1f49e
228,125,139;1f49f
45,82,111;1f4a0
100,88,59;1f4a1
46,6,11;1f4a2
36,35,34;1f4a3
13,28,40;1f4a4
85,33,27;1f4a5
51,95,130;1f4a6
36,67,92;1f4a7
112,131,145;1f4a8
126,78,66;1f4a9
138,122,113;1f4aa-1f3fb
135,116,89;1f4aa-1f3fc
118,94,75;1f4aa-1f3fd
97,69,48;1f4aa-1f3fe
68,45,34;1f4aa-1f3ff
142,121,51;1f4aa
80,61,29;1f4ab
118,140,156;1f4ac
105,123,136;1f4ad
157,103,111;1f4ae
79,10,21;1f4af
141,121,81;1f4b0
20,22,24;1f4b1
9,10,11;1f4b2
145,110,58;1f4b3
204,165,103;1f4b4
133,158,95;1f4b5
93,133,158;1f4b6
162,136,171;1f4b7
106,120,90;1f4b8
150,194,125;1f4b9
59,88,110;1f4ba
102,134,158;1f4bb
125,65,27;1f4bc
173,155,113;1f4bd
126,137,146;1f4be
127,137,145;1f4bf
196,163,97;1f4c0
49,106,149;1f4c1
47,104,148;1f4c2
169,178,183;1f4c3
151,160,166;1f4c4
206,161,172;1f4c5
144,118,125;1f4c6
113,128,138;1f4c7
190,167,175;1f4c8
163,184,200;1f4c9
160,171,177;1f4ca
148,133,130;1f4cb
83,22,31;1f4cc
44,17,21;1f4cd
35,39,42;1f4ce
97,79,31;1f4cf
129,103,39;1f4d0
149,154,167;1f4d1
211,165,77;1f4d2
111,120,126;1f4d3
190,140,121;1f4d4
183,52,71;1f4d5
116,130,139;1f4d6
104,150,80;1f4d7
79,143,192;1f4d8
223,154,56;1f4d9
142,138,146;1f4da
169,81,93;1f4db
186,150,95;1f4dc
167,164,154;1f4dd
17,19,21;1f4de
96,110,91;1f4df
110,123,127;1f4e0
76,79,77;1f4e1
98,63,70;1f4e2
32,70,98;1f4e3
116,62,54;1f4e4
102,81,56;1f4e5
101,72,62;1f4e6
140,148,153;1f4e7
87,93,97;1f4e8
145,163,177;1f4e9
89,78,82;1f4ea
89,78,82;1f4eb
101,89,92;1f4ec
66,53,56;1f4ed
118,57,67;1f4ee
82,50,16;1f4ef
161,179,193;1f4f0
42,75,100;1f4f1
50,91,123;1f4f2
244,170,73;1f4f3
244,173,78;1f4f4
89,46,52;1f4f5
94,156,204;1f4f6
55,64,71;1f4f7
83,81,75;1f4f8
40,45,50;1f4f9
49,83,110;1f4fa
92,103,110;1f4fb
36,43,49;1f4fc
39,44,49;1f4fd
27,18,36;1f4ff
95,157,204;1f500
101,160,206;1f501
102,161,206;1f502
101,160,206;1f503
108,165,208;1f504
62,42,12;1f505
82,55,16;1f506
75,62,67;1f507
64,69,72;1f508
68,73,77;1f509
80,86,91;1f50a
103,125,93;1f50b
17,19,21;1f50c
81,94,103;1f50d
81,94,103;1f50e
100,84,57;1f50f
151,100,51;1f510
77,42,31;1f511
116,85,39;1f512
115,84,37;1f513
121,82,24;1f514
124,74,27;1f515
190,167,176;1f516
47,53,58;1f517
51,99,135;1f518
21,24,27;1f519
25,29,32;1f51a
25,28,31;1f51b
21,23,26;1f51c
16,18,20;1f51d
101,59,65;1f51e
115,169,210;1f51f
112,167,209;1f520
103,162,207;1f521
100,160,206;1f522
113,168,210;1f523
90,154,202;1f524
139,92,19;1f525
45,48,47;1f526
41,47,51;1f527
42,30,14;1f528
52,56,60;1f529
47,50,52;1f52a
61,81,41;1f52b
65,71,76;1f52c
54,30,35;1f52d
113,87,128;1f52e
182,156,219;1f52f
76,105,84;1f530
109,87,33;1f531
128,132,136;1f532
147,151,154;1f533
175,36,53;1f534
67,136,188;1f535
123,72,6;1f536
42,86,120;1f537
46,27,2;1f538
16,32,45;1f539
48,18,23;1f53a
48,18,23;1f53b
95,157,204;1f53c
95,157,204;1f53d
169,135,213;1f549
75,82,80;1f54a
59,51,34;1f54b
139,101,45;1f54c
103,105,102;1f54d
177,146,217;1f54e
151,160,166;1f550
151,160,166;1f551
151,160,166;1f552
151,160,166;1f553
151,160,166;1f554
151,160,166;1f555
151,160,166;1f556
151,160,166;1f557
151,160,166;1f558
151,160,166;1f559
151,160,166;1f55a
153,162,167;1f55b
151,160,166;1f55c
151,160,166;1f55d
151,160,166;1f55e
151,160,166;1f55f
151,160,166;1f560
153,162,168;1f561
151,160,166;1f562
151,160,166;1f563
151,160,166;1f564
151,160,166;1f565
151,160,166;1f566
151,160,166;1f567
80,72,59;1f56f
84,52,45;1f570
25,28,30;1f573
25,22,23;1f574-1f3fb-200d-2640-fe0f
20,22,23;1f574-1f3fb-200d-2642-fe0f
19,20,21;1f574-1f3fb
32,28,20;1f574-1f3fc-200d-2640-fe0f
20,21,22;1f574-1f3fc-200d-2642-fe0f
20,21,21;1f574-1f3fc
27,21,20;1f574-1f3fd-200d-2640-fe0f
19,21,22;1f574-1f3fd-200d-2642-fe0f
19,20,20;1f574-1f3fd
24,19,18;1f574-1f3fe-200d-2640-fe0f
18,20,20;1f574-1f3fe-200d-2642-fe0f
18,19,19;1f574-1f3fe
18,15,15;1f574-1f3ff-200d-2640-fe0f
17,19,20;1f574-1f3ff-200d-2642-fe0f
17,18,19;1f574-1f3ff
33,27,18;1f574-fe0f-200d-2640-fe0f
20,22,21;1f574-fe0f-200d-2642-fe0f
20,21,19;1f574
63,69,73;1f575-1f3fb-200d-2640-fe0f
62,68,72;1f575-1f3fb-200d-2642-fe0f
60,66,70;1f575-1f3fb
69,74,70;1f575-1f3fc-200d-2640-fe0f
62,68,69;1f575-1f3fc-200d-2642-fe0f
63,69,68;1f575-1f3fc
64,67,69;1f575-1f3fd-200d-2640-fe0f
60,65,68;1f575-1f3fd-200d-2642-fe0f
60,64,67;1f575-1f3fd
61,64,67;1f575-1f3fe-200d-2640-fe0f
58,63,66;1f575-1f3fe-200d-2642-fe0f
58,62,65;1f575-1f3fe
55,60,64;1f575-1f3ff-200d-2640-fe0f
55,60,64;1f575-1f3ff-200d-2642-fe0f
54,60,64;1f575-1f3ff
70,73,67;1f575-fe0f-200d-2640-fe0f
63,68,66;1f575-fe0f-200d-2642-fe0f
64,68,66;1f575
10,11,13;1f576
16,18,20;1f577
26,29,32;1f578
36,26,30;1f579
22,17,18;1f57a-1f3fb
25,20,16;1f57a-1f3fc
23,16,16;1f57a-1f3fd
21,14,14;1f57a-1f3fe
18,12,13;1f57a-1f3ff
26,19,15;1f57a
52,58,62;1f587
32,28,20;1f58a
28,31,34;1f58b
27,33,44;1f58c
74,22,29;1f58d
117,104,97;1f590-1f3fb
115,99,76;1f590-1f3fc
101,80,64;1f590-1f3fd
82,59,41;1f590-1f3fe
58,39,29;1f590-1f3ff
121,103,43;1f590
96,86,79;1f595-1f3fb
94,81,62;1f595-1f3fc
82,66,52;1f595-1f3fd
68,48,33;1f595-1f3fe
48,32,24;1f595-1f3ff
99,85,36;1f595
128,114,106;1f596-1f3fb
126,108,83;1f596-1f3fc
110,88,69;1f596-1f3fd
90,65,44;1f596-1f3fe
63,42,31;1f596-1f3ff
133,112,47;1f596
31,35,39;1f5a4
144,180,208;1f5a5
98,125,147;1f5a8
80,89,95;1f5b1
81,78,103;1f5b2
119,106,109;1f5bc
184,164,125;1f5c2
136,141,147;1f5c3
61,68,73;1f5c4
85,94,101;1f5d1
137,150,159;1f5d2
173,147,154;1f5d3
88,33,42;1f5dc
18,20,22;1f5dd
81,90,95;1f5de
61,52,43;1f5e1
25,55,78;1f5e3
91,131,160;1f5e8
84,89,93;1f5ef
107,134,146;1f5f3
93,133,143;1f5fa
56,60,64;1f5fb
54,23,27;1f5fc
60,155,159;1f5fd
126,189,222;1f5fe
106,114,119;1f5ff
178,142,54;1f600
180,145,57;1f601
157,142,82;1f602
174,139,53;1f603
179,143,55;1f604
169,143,69;1f605
174,139,53;1f606
181,157,80;1f607
135,110,174;1f608
186,147,53;1f609
190,141,63;1f60a
192,146,58;1f60b
186,148,53;1f60c
188,111,54;1f60d
152,124,52;1f60e
188,149,54;1f60f
191,152,55;1f610
194,154,57;1f611
187,148,53;1f612
184,154,70;1f613
189,150,54;1f614
192,153,56;1f615
180,142,49;1f616
191,152,55;1f617
186,139,52;1f618
192,153,56;1f619
189,140,62;1f61a
185,136,59;1f61b
185,141,75;1f61c
182,133,58;1f61d
192,152,56;1f61e
185,147,52;1f61f
186,147,53;1f620
154,37,54;1f621
175,146,66;1f622
180,142,50;1f623
197,166,88;1f624
180,150,68;1f625
190,151,55;1f626
185,147,52;1f627
169,151,94;1f628
173,138,52;1f629
186,154,66;1f62a
173,137,48;1f62b
177,142,58;1f62c
168,149,86;1f62d
187,148,53;1f62e
186,147,52;1f62f
163,155,109;1f630
178,159,113;1f631
180,143,53;1f632
186,146,84;1f633
179,147,63;1f634
177,140,48;1f635
195,155,57;1f636
194,169,103;1f637
181,146,68;1f638
171,148,87;1f639
186,149,69;1f63a
189,114,69;1f63b
192,152,64;1f63c
192,152,64;1f63d
190,151,64;1f63e
177,149,79;1f63f
199,159,85;1f640
190,151,55;1f641
190,151,55;1f642
189,150,54;1f643
192,159,78;1f644
94,78,103;1f645-1f3fb-200d-2640-fe0f
69,83,96;1f645-1f3fb-200d-2642-fe0f
121,78,60;1f645-1f3fb
137,113,91;1f645-1f3fc-200d-2640-fe0f
95,105,86;1f645-1f3fc-200d-2642-fe0f
153,104,49;1f645-1f3fc
110,71,87;1f645-1f3fd-200d-2640-fe0f
76,76,82;1f645-1f3fd-200d-2642-fe0f
132,71,45;1f645-1f3fd
92,62,80;1f645-1f3fe-200d-2640-fe0f
62,67,74;1f645-1f3fe-200d-2642-fe0f
116,62,37;1f645-1f3fe
64,43,66;1f645-1f3ff-200d-2640-fe0f
41,52,63;1f645-1f3ff-200d-2642-fe0f
93,46,26;1f645-1f3ff
139,103,83;1f645-200d-2640-fe0f
97,98,73;1f645-200d-2642-fe0f
156,97,40;1f645
124,101,134;1f646-1f3fb-200d-2640-fe0f
93,113,130;1f646-1f3fb-200d-2642-fe0f
161,104,80;1f646-1f3fb
164,133,119;1f646-1f3fc-200d-2640-fe0f
115,129,117;1f646-1f3fc-200d-2642-fe0f
186,123,67;1f646-1f3fc
137,91,114;1f646-1f3fd-200d-2640-fe0f
96,102,112;1f646-1f3fd-200d-2642-fe0f
166,93,61;1f646-1f3fd
117,79,103;1f646-1f3fe-200d-2640-fe0f
80,90,100;1f646-1f3fe-200d-2642-fe0f
150,81,50;1f646-1f3fe
88,59,89;1f646-1f3ff-200d-2640-fe0f
57,73,89;1f646-1f3ff-200d-2642-fe0f
125,64,38;1f646-1f3ff
167,125,106;1f646-200d-2640-fe0f
118,126,103;1f646-200d-2642-fe0f
189,118,52;1f646
98,87,108;1f647-1f3fb-200d-2640-fe0f
85,97,107;1f647-1f3fb-200d-2642-fe0f
124,93,81;1f647-1f3fb
143,124,94;1f647-1f3fc-200d-2640-fe0f
111,117,94;1f647-1f3fc-200d-2642-fe0f
160,121,67;1f647-1f3fc
114,79,89;1f647-1f3fd-200d-2640-fe0f
90,86,88;1f647-1f3fd-200d-2642-fe0f
134,83,61;1f647-1f3fd
94,68,80;1f647-1f3fe-200d-2640-fe0f
74,74,77;1f647-1f3fe-200d-2642-fe0f
116,71,50;1f647-1f3fe
64,47,65;1f647-1f3ff-200d-2640-fe0f
49,56,65;1f647-1f3ff-200d-2642-fe0f
88,51,37;1f647-1f3ff
146,114,83;1f647-200d-2640-fe0f
114,112,80;1f647-200d-2642-fe0f
163,114,53;1f647
140,87,69;1f648
145,93,74;1f649
138,90,73;1f64a
115,95,118;1f64b-1f3fb-200d-2640-fe0f
89,101,112;1f64b-1f3fb-200d-2642-fe0f
140,96,77;1f64b-1f3fb
154,126,103;1f64b-1f3fc-200d-2640-fe0f
111,117,98;1f64b-1f3fc-200d-2642-fe0f
165,115,63;1f64b-1f3fc
126,84,97;1f64b-1f3fd-200d-2640-fe0f
92,89,92;1f64b-1f3fd-200d-2642-fe0f
144,84,57;1f64b-1f3fd
106,71,86;1f64b-1f3fe-200d-2640-fe0f
76,77,80;1f64b-1f3fe-200d-2642-fe0f
127,71,45;1f64b-1f3fe
76,50,71;1f64b-1f3ff-200d-2640-fe0f
51,59,68;1f64b-1f3ff-200d-2642-fe0f
102,53,33;1f64b-1f3ff
157,118,89;1f64b-200d-2640-fe0f
115,114,83;1f64b-200d-2642-fe0f
169,111,48;1f64b
121,111,105;1f64c-1f3fb
118,105,84;1f64c-1f3fc
104,86,72;1f64c-1f3fd
86,65,48;1f64c-1f3fe
61,44,36;1f64c-1f3ff
125,110,51;1f64c
85,73,86;1f64d-1f3fb-200d-2640-fe0f
68,74,79;1f64d-1f3fb-200d-2642-fe0f
97,70,59;1f64d-1f3fb
139,117,72;1f64d-1f3fc-200d-2640-fe0f
95,95,68;1f64d-1f3fc-200d-2642-fe0f
131,97,47;1f64d-1f3fc
106,66,68;1f64d-1f3fd-200d-2640-fe0f
75,65,63;1f64d-1f3fd-200d-2642-fe0f
108,62,42;1f64d-1f3fd
85,56,61;1f64d-1f3fe-200d-2640-fe0f
60,55,54;1f64d-1f3fe-200d-2642-fe0f
91,52,34;1f64d-1f3fe
52,33,44;1f64d-1f3ff-200d-2640-fe0f
37,39,43;1f64d-1f3ff-200d-2642-fe0f
66,35,22;1f64d-1f3ff
142,105,64;1f64d-200d-2640-fe0f
97,89,56;1f64d-200d-2642-fe0f
133,90,37;1f64d
85,74,87;1f64e-1f3fb-200d-2640-fe0f
68,74,80;1f64e-1f3fb-200d-2642-fe0f
98,71,59;1f64e-1f3fb
140,118,73;1f64e-1f3fc-200d-2640-fe0f
95,95,68;1f64e-1f3fc-200d-2642-fe0f
131,98,47;1f64e-1f3fc
106,67,68;1f64e-1f3fd-200d-2640-fe0f
75,65,63;1f64e-1f3fd-200d-2642-fe0f
108,63,43;1f64e-1f3fd
85,56,61;1f64e-1f3fe-200d-2640-fe0f
60,55,54;1f64e-1f3fe-200d-2642-fe0f
92,52,34;1f64e-1f3fe
51,34,44;1f64e-1f3ff-200d-2640-fe0f
37,39,43;1f64e-1f3ff-200d-2642-fe0f
66,35,22;1f64e-1f3ff
142,106,64;1f64e-200d-2640-fe0f
97,90,57;1f64e-200d-2642-fe0f
133,91,37;1f64e
99,103,108;1f64f-1f3fb
97,99,94;1f64f-1f3fc
87,86,85;1f64f-1f3fd
73,70,67;1f64f-1f3fe
55,55,59;1f64f-1f3ff
102,103,70;1f64f
65,60,72;1f680
93,92,68;1f681
90,57,59;1f682
98,105,78;1f683
73,96,114;1f684
97,119,135;1f685
110,114,116;1f686
71,63,71;1f687
109,104,93;1f688
81,88,87;1f689
72,81,79;1f68a
141,102,120;1f68b
68,80,90;1f68c
123,128,119;1f68d
86,106,96;1f68e
42,28,27;1f68f
101,120,134;1f690
118,108,117;1f691
118,65,76;1f692
53,61,67;1f693
84,100,114;1f694
83,71,39;1f695
136,126,83;1f696
79,32,40;1f697
67,103,126;1f698
39,68,90;1f699
119,99,94;1f69a
83,99,65;1f69b
67,76,48;1f69c
108,122,121;1f69d
146,154,133;1f69e
118,107,84;1f69f
72,96,108;1f6a0
79,56,69;1f6a1
90,101,115;1f6a2
64,82,99;1f6a3-1f3fb-200d-2640-fe0f
64,84,96;1f6a3-1f3fb-200d-2642-fe0f
67,82,96;1f6a3-1f3fb
67,84,98;1f6a3-1f3fc-200d-2640-fe0f
66,85,96;1f6a3-1f3fc-200d-2642-fe0f
69,84,95;1f6a3-1f3fc
65,82,98;1f6a3-1f3fd-200d-2640-fe0f
64,83,95;1f6a3-1f3fd-200d-2642-fe0f
67,82,95;1f6a3-1f3fd
64,81,98;1f6a3-1f3fe-200d-2640-fe0f
64,83,95;1f6a3-1f3fe-200d-2642-fe0f
67,81,94;1f6a3-1f3fe
63,80,97;1f6a3-1f3ff-200d-2640-fe0f
62,82,94;1f6a3-1f3ff-200d-2642-fe0f
65,80,94;1f6a3-1f3ff
67,83,98;1f6a3-200d-2640-fe0f
66,85,95;1f6a3-200d-2642-fe0f
69,83,94;1f6a3
70,83,98;1f6a4
42,37,31;1f6a5
42,37,31;1f6a6
83,75,47;1f6a7
174,82,97;1f6a8
52,18,23;1f6a9
109,59,45;1f6aa
110,23,34;1f6ab
57,54,54;1f6ac
81,38,44;1f6ad
103,162,207;1f6ae
95,52,58;1f6af
84,136,175;1f6b0
88,45,51;1f6b1
38,15,19;1f6b2
100,57,62;1f6b3
59,38,41;1f6b4-1f3fb-200d-2640-fe0f
40,49,56;1f6b4-1f3fb-200d-2642-fe0f
61,45,39;1f6b4-1f3fb
61,40,39;1f6b4-1f3fc-200d-2640-fe0f
41,49,54;1f6b4-1f3fc-200d-2642-fe0f
62,45,36;1f6b4-1f3fc
58,35,37;1f6b4-1f3fd-200d-2640-fe0f
39,46,52;1f6b4-1f3fd-200d-2642-fe0f
60,42,35;1f6b4-1f3fd
55,33,35;1f6b4-1f3fe-200d-2640-fe0f
36,44,49;1f6b4-1f3fe-200d-2642-fe0f
57,40,32;1f6b4-1f3fe
52,30,33;1f6b4-1f3ff-200d-2640-fe0f
33,41,48;1f6b4-1f3ff-200d-2642-fe0f
54,37,30;1f6b4-1f3ff
62,40,35;1f6b4-200d-2640-fe0f
42,50,50;1f6b4-200d-2642-fe0f
63,45,32;1f6b4
116,121,83;1f6b5-1f3fb-200d-2640-fe0f
97,132,97;1f6b5-1f3fb-200d-2642-fe0f
118,127,80;1f6b5-1f3fb
118,122,80;1f6b5-1f3fc-200d-2640-fe0f
98,132,95;1f6b5-1f3fc-200d-2642-fe0f
119,128,77;1f6b5-1f3fc
115,118,78;1f6b5-1f3fd-200d-2640-fe0f
96,129,93;1f6b5-1f3fd-200d-2642-fe0f
117,125,76;1f6b5-1f3fd
113,115,76;1f6b5-1f3fe-200d-2640-fe0f
93,126,91;1f6b5-1f3fe-200d-2642-fe0f
114,122,73;1f6b5-1f3fe
109,112,74;1f6b5-1f3ff-200d-2640-fe0f
90,124,89;1f6b5-1f3ff-200d-2642-fe0f
111,119,71;1f6b5-1f3ff
119,122,76;1f6b5-200d-2640-fe0f
99,132,91;1f6b5-200d-2642-fe0f
120,128,73;1f6b5
23,25,33;1f6b6-1f3fb-200d-2640-fe0f
21,28,27;1f6b6-1f3fb-200d-2642-fe0f
26,24,25;1f6b6-1f3fb
29,30,31;1f6b6-1f3fc-200d-2640-fe0f
25,31,25;1f6b6-1f3fc-200d-2642-fe0f
31,28,23;1f6b6-1f3fc
25,23,30;1f6b6-1f3fd-200d-2640-fe0f
22,26,24;1f6b6-1f3fd-200d-2642-fe0f
27,22,22;1f6b6-1f3fd
21,21,28;1f6b6-1f3fe-200d-2640-fe0f
19,24,22;1f6b6-1f3fe-200d-2642-fe0f
25,21,20;1f6b6-1f3fe
17,18,26;1f6b6-1f3ff-200d-2640-fe0f
15,21,20;1f6b6-1f3ff-200d-2642-fe0f
21,18,18;1f6b6-1f3ff
30,29,29;1f6b6-200d-2640-fe0f
26,31,22;1f6b6-200d-2642-fe0f
31,27,21;1f6b6
80,37,43;1f6b7
87,69,26;1f6b8
71,127,168;1f6b9
235,119,136;1f6ba
127,176,214;1f6bb
244,166,64;1f6bc
106,112,116;1f6bd
81,133,173;1f6be
39,56,69;1f6bf
87,92,95;1f6c0-1f3fb
93,96,94;1f6c0-1f3fc
90,92,94;1f6c0-1f3fd
88,91,94;1f6c0-1f3fe
85,90,93;1f6c0-1f3ff
93,95,94;1f6c0
84,89,92;1f6c1
98,145,181;1f6c2
97,145,180;1f6c3
118,159,190;1f6c4
113,156,188;1f6c5
73,90,44;1f6cb
61,64,71;1f6cc-1f3fb
64,67,70;1f6cc-1f3fc
62,63,70;1f6cc-1f3fd
60,62,69;1f6cc-1f3fe
58,61,68;1f6cc-1f3ff
64,66,69;1f6cc
115,51,78;1f6cd
111,71,28;1f6ce
45,45,48;1f6cf
171,138,214;1f6d0
159,62,75;1f6d1
45,49,53;1f6d2
73,35,18;1f6d5
133,101,65;1f6d6
109,153,186;1f6d7
75,66,52;1f6e0
66,111,145;1f6e1
31,76,109;1f6e2
133,172,165;1f6e3
140,179,177;1f6e4
60,82,93;1f6e5
76,36,44;1f6e9
88,107,98;1f6eb
88,107,98;1f6ec
64,77,84;1f6f0
73,111,140;1f6f3
26,28,38;1f6f4
53,18,22;1f6f5
60,66,85;1f6f6
119,97,97;1f6f7
126,128,116;1f6f8
72,31,43;1f6f9
61,63,27;1f6fa
75,33,40;1f6fb
90,82,84;1f6fc
193,114,9;1f7e0
200,160,69;1f7e1
95,140,70;1f7e2
134,112,169;1f7e3
152,83,62;1f7e4
218,45,67;1f7e5
84,170,235;1f7e6
241,142,11;1f7e7
250,201,87;1f7e8
118,175,88;1f7e9
168,140,212;1f7ea
191,104,78;1f7eb
142,124,114;1f90c-1f3fb
139,118,91;1f90c-1f3fc
121,97,76;1f90c-1f3fd
99,70,48;1f90c-1f3fe
68,45,34;1f90c-1f3ff
148,122,52;1f90c
149,150,151;1f90d
125,68,51;1f90e
128,111,102;1f90f-1f3fb
124,105,81;1f90f-1f3fc
108,86,67;1f90f-1f3fd
89,63,43;1f90f-1f3fe
61,40,30;1f90f-1f3ff
133,108,46;1f90f
188,154,67;1f910
173,144,56;1f911
183,144,60;1f912
164,133,58;1f913
174,131,46;1f914
185,157,87;1f915
101,131,155;1f916
181,130,36;1f917
94,83,77;1f918-1f3fb
92,79,60;1f918-1f3fc
80,64,50;1f918-1f3fd
66,47,32;1f918-1f3fe
46,30,23;1f918-1f3ff
97,82,34;1f918
116,103,95;1f919-1f3fb
113,97,74;1f919-1f3fc
99,79,62;1f919-1f3fd
81,58,40;1f919-1f3fe
57,38,28;1f919-1f3ff
120,101,43;1f919
126,113,104;1f91a-1f3fb
124,106,82;1f91a-1f3fc
109,87,68;1f91a-1f3fd
89,64,44;1f91a-1f3fe
62,41,31;1f91a-1f3ff
131,111,47;1f91a
114,101,93;1f91b-1f3fb
112,96,73;1f91b-1f3fc
98,78,61;1f91b-1f3fd
80,57,39;1f91b-1f3fe
56,37,28;1f91b-1f3ff
118,99,42;1f91b
114,101,94;1f91c-1f3fb
112,96,74;1f91c-1f3fc
98,78,62;1f91c-1f3fd
80,57,39;1f91c-1f3fe
56,37,28;1f91c-1f3ff
118,100,42;1f91c
108,89,36;1f91d
88,78,71;1f91e-1f3fb
86,73,56;1f91e-1f3fc
75,60,47;1f91e-1f3fd
61,44,30;1f91e-1f3fe
43,28,21;1f91e-1f3ff
91,76,32;1f91e
126,112,104;1f91f-1f3fb
123,106,81;1f91f-1f3fc
108,86,68;1f91f-1f3fd
88,63,43;1f91f-1f3fe
62,41,31;1f91f-1f3ff
130,110,47;1f91f
124,95,27;1f920
190,157,137;1f921
87,131,63;1f922
150,135,86;1f923
185,149,59;1f924
154,118,39;1f925
87,72,92;1f926-1f3fb-200d-2640-fe0f
66,76,86;1f926-1f3fb-200d-2642-fe0f
106,71,57;1f926-1f3fb
132,110,80;1f926-1f3fc-200d-2640-fe0f
87,93,76;1f926-1f3fc-200d-2642-fe0f
135,94,46;1f926-1f3fc
104,66,76;1f926-1f3fd-200d-2640-fe0f
71,68,71;1f926-1f3fd-200d-2642-fe0f
115,64,42;1f926-1f3fd
85,57,69;1f926-1f3fe-200d-2640-fe0f
58,59,63;1f926-1f3fe-200d-2642-fe0f
100,55,34;1f926-1f3fe
57,37,55;1f926-1f3ff-200d-2640-fe0f
38,45,54;1f926-1f3ff-200d-2642-fe0f
78,40,24;1f926-1f3ff
135,99,72;1f926-200d-2640-fe0f
90,88,65;1f926-200d-2642-fe0f
137,88,37;1f926
186,157,82;1f927
185,146,52;1f928
185,128,51;1f929
183,146,87;1f92a
169,129,46;1f92b
136,50,63;1f92c
177,132,40;1f92d
150,135,54;1f92e
164,135,79;1f92f
50,39,61;1f930-1f3fb
69,55,57;1f930-1f3fc
58,37,56;1f930-1f3fd
51,34,54;1f930-1f3fe
40,27,49;1f930-1f3ff
70,50,55;1f930
59,57,60;1f931-1f3fb
89,81,52;1f931-1f3fc
71,53,50;1f931-1f3fd
59,47,46;1f931-1f3fe
42,36,37;1f931-1f3ff
91,74,48;1f931
149,132,122;1f932-1f3fb
146,125,96;1f932-1f3fc
128,102,80;1f932-1f3fd
105,75,51;1f932-1f3fe
73,48,36;1f932-1f3ff
154,130,55;1f932
37,47,34;1f933-1f3fb
36,47,32;1f933-1f3fc
35,45,30;1f933-1f3fd
33,42,28;1f933-1f3fe
30,40,26;1f933-1f3ff
64,42,28;1f933
112,102,98;1f934-1f3fb
130,115,81;1f934-1f3fc
110,87,73;1f934-1f3fd
91,71,57;1f934-1f3fe
63,50,44;1f934-1f3ff
134,113,60;1f934
65,62,62;1f935-1f3fb-200d-2640-fe0f
70,66,64;1f935-1f3fb-200d-2642-fe0f
70,67,66;1f935-1f3fb
104,94,51;1f935-1f3fc-200d-2640-fe0f
90,82,55;1f935-1f3fc-200d-2642-fe0f
101,92,56;1f935-1f3fc
80,57,48;1f935-1f3fd-200d-2640-fe0f
75,59,51;1f935-1f3fd-200d-2642-fe0f
80,60,52;1f935-1f3fd
65,49,42;1f935-1f3fe-200d-2640-fe0f
62,50,43;1f935-1f3fe-200d-2642-fe0f
66,52,45;1f935-1f3fe
41,33,31;1f935-1f3ff-200d-2640-fe0f
43,37,35;1f935-1f3ff-200d-2642-fe0f
43,37,34;1f935-1f3ff
106,85,45;1f935-200d-2640-fe0f
93,78,46;1f935-200d-2642-fe0f
103,85,47;1f935
142,109,108;1f936-1f3fb
141,106,98;1f936-1f3fc
134,97,91;1f936-1f3fd
124,86,79;1f936-1f3fe
110,75,73;1f936-1f3ff
144,109,81;1f936
99,84,104;1f937-1f3fb-200d-2640-fe0f
78,88,98;1f937-1f3fb-200d-2642-fe0f
121,84,68;1f937-1f3fb
142,118,89;1f937-1f3fc-200d-2640-fe0f
105,109,85;1f937-1f3fc-200d-2642-fe0f
154,110,55;1f937-1f3fc
114,75,84;1f937-1f3fd-200d-2640-fe0f
84,78,80;1f937-1f3fd-200d-2642-fe0f
130,74,50;1f937-1f3fd
94,63,75;1f937-1f3fe-200d-2640-fe0f
68,67,69;1f937-1f3fe-200d-2642-fe0f
113,63,40;1f937-1f3fe
64,43,60;1f937-1f3ff-200d-2640-fe0f
44,50,58;1f937-1f3ff-200d-2642-fe0f
87,45,27;1f937-1f3ff
145,109,78;1f937-200d-2640-fe0f
108,104,72;1f937-200d-2642-fe0f
157,103,43;1f937
41,22,23;1f938-1f3fb-200d-2640-fe0f
26,32,37;1f938-1f3fb-200d-2642-fe0f
45,29,22;1f938-1f3fb
46,25,20;1f938-1f3fc-200d-2640-fe0f
28,33,34;1f938-1f3fc-200d-2642-fe0f
49,31,19;1f938-1f3fc
41,18,18;1f938-1f3fd-200d-2640-fe0f
24,28,32;1f938-1f3fd-200d-2642-fe0f
45,26,17;1f938-1f3fd
37,15,14;1f938-1f3fe-200d-2640-fe0f
21,25,28;1f938-1f3fe-200d-2642-fe0f
41,22,14;1f938-1f3fe
31,11,12;1f938-1f3ff-200d-2640-fe0f
16,21,25;1f938-1f3ff-200d-2642-fe0f
36,18,11;1f938-1f3ff
